dataset,split,seq_len,overlap,mode,epochs,n,wer_mean,wer_std,ins_rate_mean,del_rate_mean,sub_rate_mean,words,repeats,paths
chime6,test,2048,1792,no_adapt,0,1,0.8526788861,,0.0013041946,0.8262248854,0.0251498061,56740,1,chime6-test-ctc-seq2048-overlap1792-no_adapt_1.pkl
earnings22,test,2048,1792,no_adapt,0,1,0.1954332864,,0.0255294814,0.0508751506,0.1190286543,48963,1,earnings22-test-ctc-seq2048-overlap1792-no_adapt_1.pkl
rev16,test,2048,1792,no_adapt,0,1,0.1526964301,,0.0179898179,0.0686605424,0.0660460699,195833,1,rev16-test-ctc-seq2048-overlap1792-no_adapt_1.pkl
tedlium,test,2048,1792,no_adapt,0,1,0.0654261917,,0.0080808081,0.0200248095,0.0373205742,28215,1,tedlium-test-ctc-seq2048-overlap1792-no_adapt_1.pkl
