checkpoint,dataset,split,status,wer,training_mode,lr,augmentation,decode,epoch,n_repeats,words,ins_rate,del_rate,sub_rate,checkpoint_path,source,note,repeat_ids
enc_dec_v2,chime6,test,complete,0.8633063094818471,no_adapt,none,no_aug,beam5_lp0p5,0,1,56740.0,0.00537539654564681,0.7886676066267183,0.06926330630948185,/store/store5/data/acp21rjf_checkpoints/lcasr/enc_dec_v2/step_105360.pt,results/enc_dec/enc_dec_v2/rob97_unadapted_beam/pkl/chime6-test-enc_dec_v2-no_adapt-beam5_lp0p5-epoch-0-lr-none-no_aug_1.pkl,,1/1
enc_dec_v2,rev16,test,complete,0.19108628270005565,no_adapt,none,no_aug,beam5_lp0p5,0,1,195833.0,0.024607701459917378,0.0790775814086492,0.08740099983148908,/store/store5/data/acp21rjf_checkpoints/lcasr/enc_dec_v2/step_105360.pt,results/enc_dec/enc_dec_v2/rob97_unadapted_beam/pkl/rev16-test-enc_dec_v2-no_adapt-beam5_lp0p5-epoch-0-lr-none-no_aug_1.pkl,,1/1
