unit_id,recording_id,utterance_index,duration,word_count,baseline_wer,adapted_wer,wer_delta,improved,teacher_selected_wer,teacher_accepted_updates,teacher_skipped_updates,mean_vote_count,mean_vote_fraction
AlGore_2009:0040:423.15-430.56,AlGore_2009,40,7.410000000000025,23,0.043478260869565216,0.043478260869565216,0.0,False,,0,3,,
AlGore_2009:0041:431.95-436.22,AlGore_2009,41,4.270000000000039,10,0.6,0.6,0.0,False,,0,3,,
AlGore_2009:0042:437.70-440.92,AlGore_2009,42,3.2200000000000273,7,0.7142857142857143,0.7142857142857143,0.0,False,,0,3,,
AlGore_2009:0043:442.81-445.91,AlGore_2009,43,3.1000000000000227,8,0.125,0.125,0.0,False,,0,3,,
AlGore_2009:0044:445.91-456.69,AlGore_2009,44,10.779999999999973,30,0.0,0.0,0.0,False,,0,3,,
AlGore_2009:0045:456.69-457.97,AlGore_2009,45,1.2800000000000296,4,0.0,0.0,0.0,False,2.25,3,0,8.0,0.5
BarrySchwartz_2005G:0000:12.24-19.56,BarrySchwartz_2005G,0,7.3199999999999985,34,0.11764705882352941,0.11764705882352941,0.0,False,,0,3,,
BarrySchwartz_2005G:0001:19.56-26.89,BarrySchwartz_2005G,1,7.330000000000002,20,0.1,0.1,0.0,False,,0,3,,
BarrySchwartz_2005G:0002:26.89-38.74,BarrySchwartz_2005G,2,11.850000000000001,31,0.0967741935483871,0.0967741935483871,0.0,False,,0,3,,
BarrySchwartz_2005G:0003:38.74-49.12,BarrySchwartz_2005G,3,10.379999999999995,24,0.0,0.0,0.0,False,,0,3,,
BarrySchwartz_2005G:0004:49.12-62.24,BarrySchwartz_2005G,4,13.120000000000005,39,0.0,0.0,0.0,False,,0,3,,
BarrySchwartz_2005G:0005:62.24-75.46,BarrySchwartz_2005G,5,13.219999999999992,30,0.0,0.0,0.0,False,,0,3,,
BarrySchwartz_2005G:0006:75.46-89.62,BarrySchwartz_2005G,6,14.16000000000001,30,0.0,0.0,0.0,False,,0,3,,
BarrySchwartz_2005G:0007:89.62-98.55,BarrySchwartz_2005G,7,8.929999999999993,24,0.0,0.0,0.0,False,,0,3,,
BarrySchwartz_2005G:0008:98.55-105.32,BarrySchwartz_2005G,8,6.769999999999996,22,0.0,0.0,0.0,False,,0,3,,
BarrySchwartz_2005G:0009:105.32-118.42,BarrySchwartz_2005G,9,13.100000000000009,40,0.125,0.125,0.0,False,,0,3,,
BarrySchwartz_2005G:0010:118.42-129.48,BarrySchwartz_2005G,10,11.059999999999988,34,0.058823529411764705,0.058823529411764705,0.0,False,,0,3,,
BarrySchwartz_2005G:0011:129.48-139.56,BarrySchwartz_2005G,11,10.080000000000013,14,0.07142857142857142,0.07142857142857142,0.0,False,,0,3,,
