dataset,split,seq_len,overlap,epochs,lr,repeat,wer,ins_rate,del_rate,sub_rate,words,path,error
chime6,test,65536,57344,1,1em5,1,0.7586887557278815,0.004846669016566796,0.6912231230172717,0.062618963694043,56740,chime6-test-ctc-seq65536-overlap57344-epoch-1-lr-1em5_1.pkl,
chime6,test,65536,57344,5,1em5,1,0.7456996827634825,0.007966161438138879,0.6442368699330279,0.09349665139231583,56740,chime6-test-ctc-seq65536-overlap57344-epoch-5-lr-1em5_1.pkl,
earnings22,test,65536,57344,1,1em5,1,0.1762555398974736,0.02716336825766395,0.0396626023732206,0.10942956926658906,48963,earnings22-test-ctc-seq65536-overlap57344-epoch-1-lr-1em5_1.pkl,
earnings22,test,65536,57344,5,1em5,1,0.16347037558973102,0.024610420113146663,0.03823295141229091,0.10062700406429345,48963,earnings22-test-ctc-seq65536-overlap57344-epoch-5-lr-1em5_1.pkl,
rev16,test,65536,57344,1,1em5,1,0.1463134405335158,0.024040891984496996,0.05349966553134559,0.06877288301767322,195833,rev16-test-ctc-seq65536-overlap57344-epoch-1-lr-1em5_1.pkl,
rev16,test,65536,57344,5,1em5,1,0.1438010958316525,0.02432174352637196,0.051758385971720805,0.06772096633355972,195833,rev16-test-ctc-seq65536-overlap57344-epoch-5-lr-1em5_1.pkl,
tedlium,test,65536,57344,1,1em5,1,0.06131490342016658,0.007442849548112706,0.019883040935672516,0.03398901293638136,28215,tedlium-test-ctc-seq65536-overlap57344-epoch-1-lr-1em5_1.pkl,
tedlium,test,65536,57344,5,1em5,1,0.05964912280701754,0.008116250221513379,0.01789828105617579,0.03363459152932837,28215,tedlium-test-ctc-seq65536-overlap57344-epoch-5-lr-1em5_1.pkl,
