dataset,split,seq_len,overlap,epochs,lr,n,wer_mean,wer_std,ins_rate_mean,del_rate_mean,sub_rate_mean,words,repeats,paths
chime6,test,65536,57344,1,1em5,1,0.7586887557,,0.0048466690,0.6912231230,0.0626189637,56740,1,chime6-test-ctc-seq65536-overlap57344-epoch-1-lr-1em5_1.pkl
chime6,test,65536,57344,5,1em5,1,0.7456996828,,0.0079661614,0.6442368699,0.0934966514,56740,1,chime6-test-ctc-seq65536-overlap57344-epoch-5-lr-1em5_1.pkl
earnings22,test,65536,57344,1,1em5,1,0.1762555399,,0.0271633683,0.0396626024,0.1094295693,48963,1,earnings22-test-ctc-seq65536-overlap57344-epoch-1-lr-1em5_1.pkl
earnings22,test,65536,57344,5,1em5,1,0.1634703756,,0.0246104201,0.0382329514,0.1006270041,48963,1,earnings22-test-ctc-seq65536-overlap57344-epoch-5-lr-1em5_1.pkl
rev16,test,65536,57344,1,1em5,1,0.1463134405,,0.0240408920,0.0534996655,0.0687728830,195833,1,rev16-test-ctc-seq65536-overlap57344-epoch-1-lr-1em5_1.pkl
rev16,test,65536,57344,5,1em5,1,0.1438010958,,0.0243217435,0.0517583860,0.0677209663,195833,1,rev16-test-ctc-seq65536-overlap57344-epoch-5-lr-1em5_1.pkl
tedlium,test,65536,57344,1,1em5,1,0.0613149034,,0.0074428495,0.0198830409,0.0339890129,28215,1,tedlium-test-ctc-seq65536-overlap57344-epoch-1-lr-1em5_1.pkl
tedlium,test,65536,57344,5,1em5,1,0.0596491228,,0.0081162502,0.0178982811,0.0336345915,28215,1,tedlium-test-ctc-seq65536-overlap57344-epoch-5-lr-1em5_1.pkl
