dataset,split,seq_len,overlap,epochs,lr,repeat,wer,ins_rate,del_rate,sub_rate,words,path,error
chime6,test,65536,63488,5,9em5,1,0.7553930207966162,0.008195276700740219,0.6466161438138879,0.10058160028198801,56740,chime6-test-ctc-seq65536-overlap63488-epoch-5-lr-9em5_1.pkl,
earnings22,test,65536,63488,5,9em5,1,0.14829565181872026,0.024365337091273,0.033412985315442276,0.09051732941200498,48963,earnings22-test-ctc-seq65536-overlap63488-epoch-5-lr-9em5_1.pkl,
rev16,test,65536,63488,5,9em5,1,0.14131428308814142,0.0261345125693831,0.048260507677459874,0.06691926284129845,195833,rev16-test-ctc-seq65536-overlap63488-epoch-5-lr-9em5_1.pkl,
tedlium,test,65536,63488,5,9em5,1,0.05752259436469963,0.00808080808080808,0.016409711146553253,0.033032075137338295,28215,tedlium-test-ctc-seq65536-overlap63488-epoch-5-lr-9em5_1.pkl,
