augmentation,checkpoint,checkpoint_path,dataset,decode,del_rate,delta_vs_normal_decode,delta_vs_old_seed,epoch,ins_rate,lr,n_repeats,normal_decode_wer,relative_delta_vs_normal_decode,relative_delta_vs_old_seed,repeat_ids,setting,split,sub_rate,training_mode,wer,wer_std,words
freq9_width44_time0,old_seed,/store/store5/data/acp21rjf_checkpoints/lcasr/enc_dec_no_anorm_V2_lr_2e3_ctcw_0_05/step_210720.pt,earnings22,beam5_lp0p5,0.047607376998958395,-0.002430406633580462,0.0,1,0.04969058268488451,3em8,1,0.25172068704940465,-0.009655172413793116,0.0,['1/1'],earnings22-test-old_seed-teacher_ce-beam5_lp0p5-epoch-1-lr-3em8-freq9_width44_time0,test,0.1519923207319813,teacher_ce,0.24929028041582418,0.0,48963.0
freq9_width44_time0,rl_step_30000,/store/store5/data/acp21rjf_checkpoints/lcasr/rob61_rl_floras50_30k_b36_r24_grpo_wer70_cer30_std001_const_lr_1e-5/step_30000.pt,earnings22,beam5_lp0p5,0.044114943937258747,0.017339623797561404,-0.0018789698343647243,1,0.049568041173947676,3em8,1,0.23007168678389806,0.07536617842876156,-0.0075372767491397675,['1/1'],earnings22-test-rl_step_30000-teacher_ce-beam5_lp0p5-epoch-1-lr-3em8-freq9_width44_time0,test,0.15372832547025306,teacher_ce,0.24741131058145946,0.0,48963.0
freq9_width44_time0,old_seed,/store/store5/data/acp21rjf_checkpoints/lcasr/enc_dec_no_anorm_V2_lr_2e3_ctcw_0_05/step_210720.pt,rev16,beam5_lp0p5,0.06308946908845803,-0.0015574494594884358,0.0,1,0.030117498072337143,1em7,1,0.17663008788100065,-0.008817577334489703,0.0,['1/1'],rev16-test-old_seed-teacher_ce-beam5_lp0p5-epoch-1-lr-1em7-freq9_width44_time0,test,0.08186567126071705,teacher_ce,0.17507263842151222,0.0,195833.0
freq9_width44_time0,rl_step_30000,/store/store5/data/acp21rjf_checkpoints/lcasr/rob61_rl_floras50_30k_b36_r24_grpo_wer70_cer30_std001_const_lr_1e-5/step_30000.pt,rev16,beam5_lp0p5,0.14114066577134599,0.06421287525595787,0.06120521056206052,1,0.02091067389050875,1em7,1,0.17206497372761487,0.37318969610636266,0.34959894997812446,['1/1'],rev16-test-rl_step_30000-teacher_ce-beam5_lp0p5-epoch-1-lr-1em7-freq9_width44_time0,test,0.074226509321718,teacher_ce,0.23627784898357274,0.0,195833.0
