dataset,split,seq_len,overlap,mode,epochs,n,wer_mean,wer_std,ins_rate_mean,del_rate_mean,sub_rate_mean,words,repeats,paths
chime6,test,16384,14336,no_adapt,0,1,0.8652273528,,0.0010398308,0.8383327459,0.0258547762,56740,1,chime6-test-ctc-seq16384-overlap14336-no_adapt_1.pkl
earnings22,test,16384,14336,no_adapt,0,1,0.1828932051,,0.0233645814,0.0501399016,0.1093887221,48963,1,earnings22-test-ctc-seq16384-overlap14336-no_adapt_1.pkl
rev16,test,16384,14336,no_adapt,0,1,0.1521500462,,0.0174842851,0.0704784178,0.0641873433,195833,1,rev16-test-ctc-seq16384-overlap14336-no_adapt_1.pkl
tedlium,test,16384,14336,no_adapt,0,1,0.0622718412,,0.0073719653,0.0198121567,0.0350877193,28215,1,tedlium-test-ctc-seq16384-overlap14336-no_adapt_1.pkl
