augmentation,checkpoint,dataset,decode,del_rate,delta_vs_normal_decode,delta_vs_old_seed,epoch,ins_rate,lr,n_repeats,normal_decode_wer,relative_delta_vs_normal_decode,relative_delta_vs_old_seed,repeat_ids,setting,split,sub_rate,training_mode,wer,wer_std,words
freq6_width34_time0,rl_step_30000,earnings22,beam5_lp0p5,0.042419786369299266,0.0015726160570226355,-0.0003267773624982262,1,0.04677001000755673,3em7,1,0.23007168678389806,0.0068353306702174255,-0.00140869871456248,['1/1'],earnings22-test-rl_step_30000-teacher_kl-beam5_lp0p5-epoch-1-lr-3em7-freq6_width34_time0,test,0.1424545064640647,teacher_kl,0.2316443028409207,0.0,48963.0
freq3_width24_time0,old_seed,tedlium,beam5_lp0p5,0.03405989721779196,-0.0008506113769271711,0.0,1,0.01240474924685451,1em7,1,0.08895977317029949,-0.009561752988047862,0.0,['1/1'],tedlium-test-old_seed-teacher_ce-beam5_lp0p5-epoch-1-lr-1em7-freq3_width24_time0,test,0.04164451532872585,teacher_ce,0.08810916179337232,0.0,28215.0
freq6_width34_time0,old_seed,tedlium,beam5_lp0p5,0.16866914761651602,0.12808789650894914,0.0,1,0.010065567960304802,1em7,1,0.08895977317029949,1.439840637450199,0.0,['1/1'],tedlium-test-old_seed-teacher_ce-beam5_lp0p5-epoch-1-lr-1em7-freq6_width34_time0,test,0.038312954102427785,teacher_ce,0.21704766967924863,0.0,28215.0
freq3_width24_time0,old_seed,tedlium,beam5_lp0p5,0.03363459152932837,-0.001488569909622539,0.0,1,0.012617402091086301,3em7,1,0.08895977317029949,-0.01673306772908364,0.0,['1/1'],tedlium-test-old_seed-teacher_ce-beam5_lp0p5-epoch-1-lr-3em7-freq3_width24_time0,test,0.04121920964026227,teacher_ce,0.08747120326067695,0.0,28215.0
freq6_width34_time0,old_seed,tedlium,beam5_lp0p5,0.03572567783094099,-0.0002480949849370945,0.0,1,0.011093390040758462,3em7,1,0.08895977317029949,-0.002788844621513992,0.0,['1/1'],tedlium-test-old_seed-teacher_ce-beam5_lp0p5-epoch-1-lr-3em7-freq6_width34_time0,test,0.04189261031366295,teacher_ce,0.0887116781853624,0.0,28215.0
freq3_width24_time0,old_seed,tedlium,beam5_lp0p5,0.03221690590111643,0.004784688995215308,0.0,1,0.018819776714513556,1em7,1,0.08895977317029949,0.05378486055776889,0.0,['1/1'],tedlium-test-old_seed-teacher_kl-beam5_lp0p5-epoch-1-lr-1em7-freq3_width24_time0,test,0.04270777954988481,teacher_kl,0.0937444621655148,0.0,28215.0
freq6_width34_time0,old_seed,tedlium,beam5_lp0p5,0.03214602161970583,0.003402445507708657,0.0,1,0.017047669679248628,1em7,1,0.08895977317029949,0.038247011952191136,0.0,['1/1'],tedlium-test-old_seed-teacher_kl-beam5_lp0p5-epoch-1-lr-1em7-freq6_width34_time0,test,0.043168527379053696,teacher_kl,0.09236221867800815,0.0,28215.0
freq3_width24_time0,old_seed,tedlium,beam5_lp0p5,0.03203969519758994,0.00535176324650008,0.0,1,0.01874889243310296,3em7,1,0.08895977317029949,0.06015936254980069,0.0,['1/1'],tedlium-test-old_seed-teacher_kl-beam5_lp0p5-epoch-1-lr-3em7-freq3_width24_time0,test,0.04352294878610668,teacher_kl,0.09431153641679957,0.0,28215.0
freq6_width34_time0,old_seed,tedlium,beam5_lp0p5,0.03189792663476874,0.0058125110756689635,0.0,1,0.019918483076377815,3em7,1,0.08895977317029949,0.06533864541832661,0.0,['1/1'],tedlium-test-old_seed-teacher_kl-beam5_lp0p5-epoch-1-lr-3em7-freq6_width34_time0,test,0.0429558745348219,teacher_kl,0.09477228424596845,0.0,28215.0
freq3_width24_time0,rl_step_30000,tedlium,beam5_lp0p5,0.02764486975013291,-0.003934077618288151,-0.008187134502923979,1,0.010668084352294879,1em7,1,0.08385610490873649,-0.046914623837700835,-0.09292035398230092,['1/1'],tedlium-test-rl_step_30000-teacher_ce-beam5_lp0p5-epoch-1-lr-1em7-freq3_width24_time0,test,0.041609073188020554,teacher_ce,0.07992202729044834,0.0,28215.0
freq6_width34_time0,rl_step_30000,tedlium,beam5_lp0p5,0.02867269183058657,-0.000992379939748364,-0.13418394471026052,1,0.012050327839801525,1em7,1,0.08385610490873649,-0.011834319526627257,-0.6182233834095363,['1/1'],tedlium-test-rl_step_30000-teacher_ce-beam5_lp0p5-epoch-1-lr-1em7-freq6_width34_time0,test,0.042140705298600034,teacher_ce,0.08286372496898813,0.0,28215.0
freq3_width24_time0,rl_step_30000,tedlium,beam5_lp0p5,0.028779018252702463,-0.002126528442317921,-0.005741626794258381,1,0.010419989367357788,3em7,1,0.08385610490873649,-0.025359256128486957,-0.06564019448946525,['1/1'],tedlium-test-rl_step_30000-teacher_ce-beam5_lp0p5-epoch-1-lr-3em7-freq3_width24_time0,test,0.04253056884635832,teacher_ce,0.08172957646641857,0.0,28215.0
freq6_width34_time0,rl_step_30000,tedlium,beam5_lp0p5,0.03094098883572568,0.00028353712564238576,-0.004572036150983519,1,0.011057947900053162,3em7,1,0.08385610490873649,0.0033812341504648835,-0.05153815421494207,['1/1'],tedlium-test-rl_step_30000-teacher_ce-beam5_lp0p5-epoch-1-lr-3em7-freq6_width34_time0,test,0.042140705298600034,teacher_ce,0.08413964203437888,0.0,28215.0
freq3_width24_time0,rl_step_30000,tedlium,beam5_lp0p5,0.02955874534821903,3.544214070529128e-05,-0.009852915116073016,1,0.011554137869927343,1em7,1,0.08385610490873649,0.00042265426880802766,-0.10510396975425336,['1/1'],tedlium-test-rl_step_30000-teacher_kl-beam5_lp0p5-epoch-1-lr-1em7-freq3_width24_time0,test,0.04277866383129541,teacher_kl,0.08389154704944178,0.0,28215.0
freq6_width34_time0,rl_step_30000,tedlium,beam5_lp0p5,0.029487861066808434,-0.0003544214070529822,-0.008860535176324638,1,0.011625022151337941,1em7,1,0.08385610490873649,-0.004226542688081104,-0.09593246354566373,['1/1'],tedlium-test-rl_step_30000-teacher_kl-beam5_lp0p5-epoch-1-lr-1em7-freq6_width34_time0,test,0.04238880028353713,teacher_kl,0.08350168350168351,0.0,28215.0
freq3_width24_time0,rl_step_30000,tedlium,beam5_lp0p5,0.028743576111997165,0.0015594541910331355,-0.008895977317029943,1,0.013893319156477051,3em7,1,0.08385610490873649,0.018596787827557023,-0.09432544156332201,['1/1'],tedlium-test-rl_step_30000-teacher_kl-beam5_lp0p5-epoch-1-lr-3em7-freq3_width24_time0,test,0.04277866383129541,teacher_kl,0.08541555909976963,0.0,28215.0
freq6_width34_time0,rl_step_30000,tedlium,beam5_lp0p5,0.030196703880914406,-7.088428141059644e-05,-0.010987063618642559,1,0.01088073719652667,3em7,1,0.08385610490873649,-0.0008453085376162209,-0.11593118922961848,['1/1'],tedlium-test-rl_step_30000-teacher_kl-beam5_lp0p5-epoch-1-lr-3em7-freq6_width34_time0,test,0.04270777954988481,teacher_kl,0.0837852206273259,0.0,28215.0
