augmentation,checkpoint,checkpoint_path,dataset,decode,del_rate,delta_vs_normal_decode,delta_vs_old_seed,epoch,ins_rate,lr,n_repeats,normal_decode_wer,relative_delta_vs_normal_decode,relative_delta_vs_old_seed,repeat_ids,setting,split,sub_rate,training_mode,wer,wer_std,words
freq3_width24_time0,old_seed,/store/store5/data/acp21rjf_checkpoints/lcasr/enc_dec_no_anorm_V2_lr_2e3_ctcw_0_05/step_210720.pt,earnings22,beam5_lp0p5,0.04901660437473194,-0.03486305986152807,0.0,1,0.042481057124767685,3em7,1,0.25172068704940465,-0.13849898580121697,0.0,['1/1'],earnings22-test-old_seed-teacher_ce-beam5_lp0p5-epoch-1-lr-3em7-freq3_width24_time0,test,0.12535996568837693,teacher_ce,0.21685762718787657,0.0,48963.0
freq6_width34_time0,old_seed,/store/store5/data/acp21rjf_checkpoints/lcasr/enc_dec_no_anorm_V2_lr_2e3_ctcw_0_05/step_210720.pt,earnings22,beam5_lp0p5,0.04934338173723015,-0.015419806792884405,0.0,1,0.04650450340052693,3em7,1,0.25172068704940465,-0.06125760649087214,0.0,['1/1'],earnings22-test-old_seed-teacher_ce-beam5_lp0p5-epoch-1-lr-3em7-freq6_width34_time0,test,0.14045299511876314,teacher_ce,0.23630088025652024,0.0,48963.0
freq3_width24_time0,old_seed,/store/store5/data/acp21rjf_checkpoints/lcasr/enc_dec_no_anorm_V2_lr_2e3_ctcw_0_05/step_210720.pt,earnings22,beam5_lp0p5,0.04977227702550906,-0.03451585891387374,0.0,1,0.0374772787615138,1em7,1,0.25172068704940465,-0.13711967545638945,0.0,['1/1'],earnings22-test-old_seed-teacher_kl-beam5_lp0p5-epoch-1-lr-1em7-freq3_width24_time0,test,0.12995527234850807,teacher_kl,0.2172048281355309,0.0,48963.0
freq6_width34_time0,old_seed,/store/store5/data/acp21rjf_checkpoints/lcasr/enc_dec_no_anorm_V2_lr_2e3_ctcw_0_05/step_210720.pt,earnings22,beam5_lp0p5,0.048485591160672345,-0.019075628535833167,0.0,1,0.04231766844351857,1em7,1,0.25172068704940465,-0.07578093306288028,0.0,['1/1'],earnings22-test-old_seed-teacher_kl-beam5_lp0p5-epoch-1-lr-1em7-freq6_width34_time0,test,0.14184179890938056,teacher_kl,0.23264505851357148,0.0,48963.0
freq3_width24_time0,old_seed,/store/store5/data/acp21rjf_checkpoints/lcasr/enc_dec_no_anorm_V2_lr_2e3_ctcw_0_05/step_210720.pt,earnings22,beam5_lp0p5,0.05132446949737557,-0.029491656965463714,0.0,1,0.038192104241978636,3em7,1,0.25172068704940465,-0.1171602434077079,0.0,['1/1'],earnings22-test-old_seed-teacher_kl-beam5_lp0p5-epoch-1-lr-3em7-freq3_width24_time0,test,0.13271245634458673,teacher_kl,0.22222903008394093,0.0,48963.0
freq6_width34_time0,old_seed,/store/store5/data/acp21rjf_checkpoints/lcasr/enc_dec_no_anorm_V2_lr_2e3_ctcw_0_05/step_210720.pt,earnings22,beam5_lp0p5,0.050139901558319544,-0.01974960684598573,0.0,1,0.04043869860915385,3em7,1,0.25172068704940465,-0.07845841784989852,0.0,['1/1'],earnings22-test-old_seed-teacher_kl-beam5_lp0p5-epoch-1-lr-3em7-freq6_width34_time0,test,0.1413924800359455,teacher_kl,0.23197108020341892,0.0,48963.0
freq3_width24_time0,rl_step_30000,/store/store5/data/acp21rjf_checkpoints/lcasr/rob61_rl_floras50_30k_b36_r24_grpo_wer70_cer30_std001_const_lr_1e-5/step_30000.pt,earnings22,beam5_lp0p5,0.04213385617711333,-0.01642056246553522,-0.004411494393725873,1,0.04152114862242918,1em7,1,0.23007168678389806,-0.07137150466045282,-0.020230401798257934,['1/1'],earnings22-test-rl_step_30000-teacher_ce-beam5_lp0p5-epoch-1-lr-1em7-freq3_width24_time0,test,0.12999611951882034,teacher_ce,0.21365112431836283,0.0,48963.0
freq6_width34_time0,rl_step_30000,/store/store5/data/acp21rjf_checkpoints/lcasr/rob61_rl_floras50_30k_b36_r24_grpo_wer70_cer30_std001_const_lr_1e-5/step_30000.pt,earnings22,beam5_lp0p5,0.04450299205522537,0.0014296509609296737,-0.014541592631170469,1,0.046443232645058515,1em7,1,0.23007168678389806,0.006213936972924954,-0.05910185108325722,['1/1'],earnings22-test-rl_step_30000-teacher_ce-beam5_lp0p5-epoch-1-lr-1em7-freq6_width34_time0,test,0.14055511304454385,teacher_ce,0.23150133774482773,0.0,48963.0
freq3_width24_time0,rl_step_30000,/store/store5/data/acp21rjf_checkpoints/lcasr/rob61_rl_floras50_30k_b36_r24_grpo_wer70_cer30_std001_const_lr_1e-5/step_30000.pt,earnings22,beam5_lp0p5,0.042419786369299266,-0.01207033882727776,0.0011437207687437223,1,0.044339603373976265,3em7,1,0.23007168678389806,-0.05246338215712392,0.005274062912036059,['1/1'],earnings22-test-rl_step_30000-teacher_ce-beam5_lp0p5-epoch-1-lr-3em7-freq3_width24_time0,test,0.13124195821334478,teacher_ce,0.2180013479566203,0.0,48963.0
freq6_width34_time0,rl_step_30000,/store/store5/data/acp21rjf_checkpoints/lcasr/rob61_rl_floras50_30k_b36_r24_grpo_wer70_cer30_std001_const_lr_1e-5/step_30000.pt,earnings22,beam5_lp0p5,0.04197046749586422,0.0008169434062455239,-0.0054122500663766615,1,0.048015848702081164,3em7,1,0.23007168678389806,0.003550821127385671,-0.022904062229904966,['1/1'],earnings22-test-rl_step_30000-teacher_ce-beam5_lp0p5-epoch-1-lr-3em7-freq6_width34_time0,test,0.14090231399219819,teacher_ce,0.23088863019014358,0.0,48963.0
freq3_width24_time0,rl_step_30000,/store/store5/data/acp21rjf_checkpoints/lcasr/rob61_rl_floras50_30k_b36_r24_grpo_wer70_cer30_std001_const_lr_1e-5/step_30000.pt,earnings22,beam5_lp0p5,0.042072585421644916,-0.011518902028062022,0.001347956620305124,1,0.04293037599820272,1em7,1,0.23007168678389806,-0.05006657789613855,0.006205923836389261,['1/1'],earnings22-test-rl_step_30000-teacher_kl-beam5_lp0p5-epoch-1-lr-1em7-freq3_width24_time0,test,0.1335498233359884,teacher_kl,0.21855278475583603,0.0,48963.0
freq6_width34_time0,rl_step_30000,/store/store5/data/acp21rjf_checkpoints/lcasr/rob61_rl_floras50_30k_b36_r24_grpo_wer70_cer30_std001_const_lr_1e-5/step_30000.pt,earnings22,beam5_lp0p5,0.041602842963053735,0.0006331311398402872,-0.0019402405898331365,1,0.046381961889590095,1em7,1,0.23007168678389806,0.0027518863737239223,-0.008339917478711252,['1/1'],earnings22-test-rl_step_30000-teacher_kl-beam5_lp0p5-epoch-1-lr-1em7-freq6_width34_time0,test,0.1427200130710945,teacher_kl,0.23070481792373834,0.0,48963.0
freq3_width24_time0,rl_step_30000,/store/store5/data/acp21rjf_checkpoints/lcasr/rob61_rl_floras50_30k_b36_r24_grpo_wer70_cer30_std001_const_lr_1e-5/step_30000.pt,earnings22,beam5_lp0p5,0.043910708085697366,-0.010252639748381448,-0.0024099830484243245,1,0.0427057165614852,3em7,1,0.23007168678389806,-0.04456280514869071,-0.010844591489752798,['1/1'],earnings22-test-rl_step_30000-teacher_kl-beam5_lp0p5-epoch-1-lr-3em7-freq3_width24_time0,test,0.13320262238833405,teacher_kl,0.2198190470355166,0.0,48963.0
freq6_width34_time0,rl_step_30000,/store/store5/data/acp21rjf_checkpoints/lcasr/rob61_rl_floras50_30k_b36_r24_grpo_wer70_cer30_std001_const_lr_1e-5/step_30000.pt,earnings22,beam5_lp0p5,0.042419786369299266,0.0015726160570226355,-0.0003267773624982262,1,0.04677001000755673,3em7,1,0.23007168678389806,0.0068353306702174255,-0.00140869871456248,['1/1'],earnings22-test-rl_step_30000-teacher_kl-beam5_lp0p5-epoch-1-lr-3em7-freq6_width34_time0,test,0.1424545064640647,teacher_kl,0.2316443028409207,0.0,48963.0
freq3_width24_time0,old_seed,/store/store5/data/acp21rjf_checkpoints/lcasr/enc_dec_no_anorm_V2_lr_2e3_ctcw_0_05/step_210720.pt,rev16,beam5_lp0p5,0.14223343358882312,0.061271593653776435,0.0,1,0.023234082100565278,1em7,1,0.17663008788100065,0.34689216536571266,0.0,['1/1'],rev16-test-old_seed-teacher_ce-beam5_lp0p5-epoch-1-lr-1em7-freq3_width24_time0,test,0.07243416584538867,teacher_ce,0.2379016815347771,0.0,195833.0
freq1_width12_time0,old_seed,/store/store5/data/acp21rjf_checkpoints/lcasr/enc_dec_no_anorm_V2_lr_2e3_ctcw_0_05/step_210720.pt,rev16,beam5_lp0p5,0.06961033125162766,0.0075983108056354165,0.0,1,0.03375835533337078,1em8,1,0.17663008788100065,0.04301821335646142,0.0,['1/1'],rev16-test-old_seed-teacher_ce-beam5_lp0p5-epoch-1-lr-1em8-freq1_width12_time0,test,0.08085971210163762,teacher_ce,0.18422839868663607,0.0,195833.0
freq3_width24_time0,old_seed,/store/store5/data/acp21rjf_checkpoints/lcasr/enc_dec_no_anorm_V2_lr_2e3_ctcw_0_05/step_210720.pt,rev16,beam5_lp0p5,0.14202407153033453,0.060812018403435586,0.0,1,0.023147273442167562,1em8,1,0.17663008788100065,0.3442902572997977,0.0,['1/1'],rev16-test-old_seed-teacher_ce-beam5_lp0p5-epoch-1-lr-1em8-freq3_width24_time0,test,0.07227076131193415,teacher_ce,0.23744210628443624,0.0,195833.0
no_aug,old_seed,/store/store5/data/acp21rjf_checkpoints/lcasr/enc_dec_no_anorm_V2_lr_2e3_ctcw_0_05/step_210720.pt,rev16,beam5_lp0p5,0.16927177748387656,0.0807729034432399,0.0,1,0.0186230104221454,1em8,1,0.17663008788100065,0.4572997976293726,0.0,['1/1'],rev16-test-old_seed-teacher_ce-beam5_lp0p5-epoch-1-lr-1em8-no_aug,test,0.06950820341821859,teacher_ce,0.25740299132424055,0.0,195833.0
freq1_width12_time0,old_seed,/store/store5/data/acp21rjf_checkpoints/lcasr/enc_dec_no_anorm_V2_lr_2e3_ctcw_0_05/step_210720.pt,rev16,beam5_lp0p5,0.14489386364912962,0.06520351524002593,0.0,1,0.023530252817451604,3em8,1,0.17663008788100065,0.3691529343740965,0.0,['1/1'],rev16-test-old_seed-teacher_ce-beam5_lp0p5-epoch-1-lr-3em8-freq1_width12_time0,test,0.07340948665444537,teacher_ce,0.24183360312102659,0.0,195833.0
freq3_width24_time0,old_seed,/store/store5/data/acp21rjf_checkpoints/lcasr/enc_dec_no_anorm_V2_lr_2e3_ctcw_0_05/step_210720.pt,rev16,beam5_lp0p5,0.06193031817926498,0.0025225574852042187,0.0,1,0.03635750869363182,3em8,1,0.17663008788100065,0.014281584272911181,0.0,['1/1'],rev16-test-old_seed-teacher_ce-beam5_lp0p5-epoch-1-lr-3em8-freq3_width24_time0,test,0.08086481849330808,teacher_ce,0.17915264536620487,0.0,195833.0
no_aug,old_seed,/store/store5/data/acp21rjf_checkpoints/lcasr/enc_dec_no_anorm_V2_lr_2e3_ctcw_0_05/step_210720.pt,rev16,beam5_lp0p5,0.15787431127542345,0.07139756833628652,0.0,1,0.019771948547997527,3em8,1,0.17663008788100065,0.4042208730847065,0.0,['1/1'],rev16-test-old_seed-teacher_ce-beam5_lp0p5-epoch-1-lr-3em8-no_aug,test,0.0703813963938662,teacher_ce,0.24802765621728717,0.0,195833.0
freq3_width24_time0,old_seed,/store/store5/data/acp21rjf_checkpoints/lcasr/enc_dec_no_anorm_V2_lr_2e3_ctcw_0_05/step_210720.pt,rev16,beam5_lp0p5,0.14591003559154994,0.19387947894379393,0.0,1,0.07735162102403578,3em9,1,0.17663008788100065,1.0976582827406764,0.0,['1/1'],rev16-test-old_seed-teacher_ce-beam5_lp0p5-epoch-1-lr-3em9-freq3_width24_time0,test,0.14724791020920885,teacher_ce,0.3705095668247946,0.0,195833.0
freq3_width24_time0,rl_step_30000,/store/store5/data/acp21rjf_checkpoints/lcasr/rob61_rl_floras50_30k_b36_r24_grpo_wer70_cer30_std001_const_lr_1e-5/step_30000.pt,rev16,beam5_lp0p5,0.13811768190243728,0.06392691732241246,-0.0019097904847497627,1,0.022800038808576697,1em7,1,0.17206497372761487,0.37152777777777773,-0.008027646010860938,['1/1'],rev16-test-rl_step_30000-teacher_ce-beam5_lp0p5-epoch-1-lr-1em7-freq3_width24_time0,test,0.07507417033901334,teacher_ce,0.23599189105002732,0.0,195833.0
freq1_width12_time0,rl_step_30000,/store/store5/data/acp21rjf_checkpoints/lcasr/rob61_rl_floras50_30k_b36_r24_grpo_wer70_cer30_std001_const_lr_1e-5/step_30000.pt,rev16,beam5_lp0p5,0.05230476988045937,0.31523287699213104,0.30306945203310987,1,0.18941649262381724,1em8,1,0.17206497372761487,1.832057217473884,1.645074560674095,['1/1'],rev16-test-rl_step_30000-teacher_ce-beam5_lp0p5-epoch-1-lr-1em8-freq1_width12_time0,test,0.2455765882154693,teacher_ce,0.4872978507197459,0.0,195833.0
freq3_width24_time0,rl_step_30000,/store/store5/data/acp21rjf_checkpoints/lcasr/rob61_rl_floras50_30k_b36_r24_grpo_wer70_cer30_std001_const_lr_1e-5/step_30000.pt,rev16,beam5_lp0p5,0.057135416400708766,0.0015063855427839001,-0.06387074701403747,1,0.0340443132669162,1em8,1,0.17206497372761487,0.008754748338081656,-0.26899503215122905,['1/1'],rev16-test-rl_step_30000-teacher_ce-beam5_lp0p5-epoch-1-lr-1em8-freq3_width24_time0,test,0.0823916296027738,teacher_ce,0.17357135927039877,0.0,195833.0
no_aug,rl_step_30000,/store/store5/data/acp21rjf_checkpoints/lcasr/rob61_rl_floras50_30k_b36_r24_grpo_wer70_cer30_std001_const_lr_1e-5/step_30000.pt,rev16,beam5_lp0p5,0.3415614324449914,0.23553742219135693,0.15019940459473125,1,0.012459595675907533,1em8,1,0.17206497372761487,1.368886514719848,0.5835184891287098,['1/1'],rev16-test-rl_step_30000-teacher_ce-beam5_lp0p5-epoch-1-lr-1em8-no_aug,test,0.05358136779807285,teacher_ce,0.4076023959189718,0.0,195833.0
freq1_width12_time0,rl_step_30000,/store/store5/data/acp21rjf_checkpoints/lcasr/rob61_rl_floras50_30k_b36_r24_grpo_wer70_cer30_std001_const_lr_1e-5/step_30000.pt,rev16,beam5_lp0p5,0.06470819524799191,0.020568545648588316,-0.0492000837448234,1,0.03621963611852956,3em8,1,0.17206497372761487,0.11953941120607774,-0.20344601870816534,['1/1'],rev16-test-rl_step_30000-teacher_ce-beam5_lp0p5-epoch-1-lr-3em8-freq1_width12_time0,test,0.09170568800968172,teacher_ce,0.19263351937620318,0.0,195833.0
freq3_width24_time0,rl_step_30000,/store/store5/data/acp21rjf_checkpoints/lcasr/rob61_rl_floras50_30k_b36_r24_grpo_wer70_cer30_std001_const_lr_1e-5/step_30000.pt,rev16,beam5_lp0p5,0.22674932212650575,0.13879172560293718,0.13170405396434717,1,0.019557480097838465,3em8,1,0.17206497372761487,0.8066239316239314,0.7351499258921446,['1/1'],rev16-test-rl_step_30000-teacher_ce-beam5_lp0p5-epoch-1-lr-3em8-freq3_width24_time0,test,0.06454989710620784,teacher_ce,0.31085669933055204,0.0,195833.0
no_aug,rl_step_30000,/store/store5/data/acp21rjf_checkpoints/lcasr/rob61_rl_floras50_30k_b36_r24_grpo_wer70_cer30_std001_const_lr_1e-5/step_30000.pt,rev16,beam5_lp0p5,0.332737587638447,0.22106590819729055,0.14510322570761824,1,0.010927678174771362,3em8,1,0.17206497372761487,1.284781576448243,0.5850284114304538,['1/1'],rev16-test-rl_step_30000-teacher_ce-beam5_lp0p5-epoch-1-lr-3em8-no_aug,test,0.049465616111687,teacher_ce,0.3931308819249054,0.0,195833.0
freq3_width24_time0,rl_step_30000,/store/store5/data/acp21rjf_checkpoints/lcasr/rob61_rl_floras50_30k_b36_r24_grpo_wer70_cer30_std001_const_lr_1e-5/step_30000.pt,rev16,beam5_lp0p5,0.1807560523507274,0.22696889696833528,0.028524303871155565,1,0.07600353362303595,3em9,1,0.17206497372761487,1.3190883190883191,0.0769866865128588,['1/1'],rev16-test-rl_step_30000-teacher_ce-beam5_lp0p5-epoch-1-lr-3em9-freq3_width24_time0,test,0.14227428472218676,teacher_ce,0.39903387069595014,0.0,195833.0
freq3_width24_time0,old_seed,/store/store5/data/acp21rjf_checkpoints/lcasr/enc_dec_no_anorm_V2_lr_2e3_ctcw_0_05/step_210720.pt,tedlium,beam5_lp0p5,0.03405989721779196,-0.0008506113769271711,0.0,1,0.01240474924685451,1em7,1,0.08895977317029949,-0.009561752988047862,0.0,['1/1'],tedlium-test-old_seed-teacher_ce-beam5_lp0p5-epoch-1-lr-1em7-freq3_width24_time0,test,0.04164451532872585,teacher_ce,0.08810916179337232,0.0,28215.0
freq6_width34_time0,old_seed,/store/store5/data/acp21rjf_checkpoints/lcasr/enc_dec_no_anorm_V2_lr_2e3_ctcw_0_05/step_210720.pt,tedlium,beam5_lp0p5,0.16866914761651602,0.12808789650894914,0.0,1,0.010065567960304802,1em7,1,0.08895977317029949,1.439840637450199,0.0,['1/1'],tedlium-test-old_seed-teacher_ce-beam5_lp0p5-epoch-1-lr-1em7-freq6_width34_time0,test,0.038312954102427785,teacher_ce,0.21704766967924863,0.0,28215.0
freq3_width24_time0,old_seed,/store/store5/data/acp21rjf_checkpoints/lcasr/enc_dec_no_anorm_V2_lr_2e3_ctcw_0_05/step_210720.pt,tedlium,beam5_lp0p5,0.03363459152932837,-0.001488569909622539,0.0,1,0.012617402091086301,3em7,1,0.08895977317029949,-0.01673306772908364,0.0,['1/1'],tedlium-test-old_seed-teacher_ce-beam5_lp0p5-epoch-1-lr-3em7-freq3_width24_time0,test,0.04121920964026227,teacher_ce,0.08747120326067695,0.0,28215.0
freq6_width34_time0,old_seed,/store/store5/data/acp21rjf_checkpoints/lcasr/enc_dec_no_anorm_V2_lr_2e3_ctcw_0_05/step_210720.pt,tedlium,beam5_lp0p5,0.03572567783094099,-0.0002480949849370945,0.0,1,0.011093390040758462,3em7,1,0.08895977317029949,-0.002788844621513992,0.0,['1/1'],tedlium-test-old_seed-teacher_ce-beam5_lp0p5-epoch-1-lr-3em7-freq6_width34_time0,test,0.04189261031366295,teacher_ce,0.0887116781853624,0.0,28215.0
freq3_width24_time0,old_seed,/store/store5/data/acp21rjf_checkpoints/lcasr/enc_dec_no_anorm_V2_lr_2e3_ctcw_0_05/step_210720.pt,tedlium,beam5_lp0p5,0.03221690590111643,0.004784688995215308,0.0,1,0.018819776714513556,1em7,1,0.08895977317029949,0.05378486055776889,0.0,['1/1'],tedlium-test-old_seed-teacher_kl-beam5_lp0p5-epoch-1-lr-1em7-freq3_width24_time0,test,0.04270777954988481,teacher_kl,0.0937444621655148,0.0,28215.0
