checkpoint,checkpoint_path,dataset,decode,del_rate,delta_vs_old_seed,ins_rate,n_repeats,overlap,relative_delta_vs_old_seed,repeat_ids,seq,setting,split,sub_rate,wer,wer_std,words
enc_dec_outcome_seed,/store/store5/data/acp21rjf_checkpoints/lcasr/enc_dec_v2/step_105360.pt,earnings22,beam5_lp0p5,0.05935093846373792,0.03551661458652455,0.04789330719114433,1,0,0.1410953346855985,['1/1'],2048,earnings22-test-enc_dec_outcome_seed-beam5_lp0p5-seq2048-overlap0,test,0.17999305598104692,0.2872373016359292,0.0,48963.0
old_seed,/store/store5/data/acp21rjf_checkpoints/lcasr/enc_dec_no_anorm_V2_lr_2e3_ctcw_0_05/step_210720.pt,earnings22,beam5_lp0p5,0.05518452709188571,0.0,0.043522659967730734,1,0,0.0,['1/1'],2048,earnings22-test-old_seed-beam5_lp0p5-seq2048-overlap0,test,0.15301349998978822,0.25172068704940465,0.0,48963.0
