agreement,aug,base_mode,dataset,decode,del_rate,delta_vs_baseline,epoch,ins_rate,kl_temp,lr,mode,n_repeats,repeat_ids,setting,spec_aug,split,sub_rate,teacher_max_mean_entropy,teacher_min_mean_max_prob,vote_min_count,vote_num_samples,vote_representative_strategy,vote_similarity,vote_temperature,wer,wer_std,words
,no_aug,no_adapt,tedlium,beam5_lp0p5,0.034431303194429094,0.0,0,0.015253675251464574,,none,no_adapt-beam5_lp0p5,2,"['1/2', '2/2']",tedlium-dev-no_adapt-beam5_lp0p5-epoch-0-lr-none-no_aug,,dev,0.06234110754946391,,,,,,,,0.11202608599535757,0.0,18094.0
,freq3_width24_time0-voteN8_t0p7_min3_sim0p95_repmedoid-confp0p35_e2p5,teacher_ce,tedlium,beam5_lp0p5,0.034514203603404445,-0.00030396816624295164,1,0.015143141372830772,,1em7,teacher_ce-beam5_lp0p5,2,"['1/2', '2/2']",tedlium-dev-teacher_ce-beam5_lp0p5-epoch-1-lr-1em7-freq3_width24_time0-voteN8_t0p7_min3_sim0p95_repmedoid-confp0p35_e2p5,freq3_width24_time0,dev,0.06206477285287941,2p5,0p35,3,8,medoid,0p95,0p7,0.11172211782911462,0.0009119044987288619,18094.0
,freq3_width24_time0-voteN8_t0p7_min3_sim0p9_repmedoid-confp0p35_e2p5,teacher_ce,tedlium,beam5_lp0p5,0.03346413175638333,0.007930805791975248,1,0.023239747982756714,,1em7,teacher_ce-beam5_lp0p5,2,"['1/2', '2/2']",tedlium-dev-teacher_ce-beam5_lp0p5-epoch-1-lr-1em7-freq3_width24_time0-voteN8_t0p7_min3_sim0p9_repmedoid-confp0p35_e2p5,freq3_width24_time0,dev,0.06325301204819278,2p5,0p35,3,8,medoid,0p9,0p7,0.11995689178733282,0.0010224383773626625,18094.0
,freq3_width24_time0-voteN8_t0p7_min3_sim0p95_repmedoid-confp0p35_e2p5,teacher_ce,tedlium,beam5_lp0p5,0.0358129766773516,0.0012158726649718204,1,0.015447109539073725,,3em7,teacher_ce-beam5_lp0p5,2,"['1/2', '2/2']",tedlium-dev-teacher_ce-beam5_lp0p5-epoch-1-lr-3em7-freq3_width24_time0-voteN8_t0p7_min3_sim0p95_repmedoid-confp0p35_e2p5,freq3_width24_time0,dev,0.06198187244390406,2p5,0p35,3,8,medoid,0p95,0p7,0.11324195866032939,0.0008290040897535045,18094.0
,freq3_width24_time0-voteN8_t0p7_min3_sim0p9_repmedoid-confp0p35_e2p5,teacher_ce,tedlium,beam5_lp0p5,0.03561954238974245,0.005803028628274573,1,0.019923731623742676,,3em7,teacher_ce-beam5_lp0p5,2,"['1/2', '2/2']",tedlium-dev-teacher_ce-beam5_lp0p5-epoch-1-lr-3em7-freq3_width24_time0-voteN8_t0p7_min3_sim0p9_repmedoid-confp0p35_e2p5,freq3_width24_time0,dev,0.06228584061014701,2p5,0p35,3,8,medoid,0p9,0p7,0.11782911462363214,0.0027080800265281285,18094.0
,freq3_width24_time0-voteN8_t0p7_min3_sim0p95_repmedoid-confp0p35_e2p5-tau1p0,teacher_kl,tedlium,beam5_lp0p5,0.0350945064662319,0.0007737371504366181,1,0.016110312810876534,1p0,1em7,teacher_kl-beam5_lp0p5,2,"['1/2', '2/2']",tedlium-dev-teacher_kl-beam5_lp0p5-epoch-1-lr-1em7-freq3_width24_time0-voteN8_t0p7_min3_sim0p95_repmedoid-confp0p35_e2p5-tau1p0,freq3_width24_time0,dev,0.06159500386868575,2p5,0p35,3,8,medoid,0p95,0p7,0.11279982314579419,0.0004974024538521027,18094.0
,freq3_width24_time0-voteN8_t0p7_min3_sim0p9_repmedoid-confp0p35_e2p5-tau1p0,teacher_kl,tedlium,beam5_lp0p5,0.034403669724770644,0.0029567812534541937,1,0.02011716591135183,1p0,1em7,teacher_kl-beam5_lp0p5,2,"['1/2', '2/2']",tedlium-dev-teacher_kl-beam5_lp0p5-epoch-1-lr-1em7-freq3_width24_time0-voteN8_t0p7_min3_sim0p9_repmedoid-confp0p35_e2p5-tau1p0,freq3_width24_time0,dev,0.06046203161268929,2p5,0p35,3,8,medoid,0p9,0p7,0.11498286724881177,0.0034541837073062895,18094.0
,freq3_width24_time0-voteN8_t0p7_min3_sim0p95_repmedoid-confp0p35_e2p5-tau1p0,teacher_kl,tedlium,beam5_lp0p5,0.034569470542721345,0.003039681662429544,1,0.019205261412622972,1p0,3em7,teacher_kl-beam5_lp0p5,2,"['1/2', '2/2']",tedlium-dev-teacher_kl-beam5_lp0p5-epoch-1-lr-3em7-freq3_width24_time0-voteN8_t0p7_min3_sim0p95_repmedoid-confp0p35_e2p5-tau1p0,freq3_width24_time0,dev,0.0612910357024428,2p5,0p35,3,8,medoid,0p95,0p7,0.11506576765778712,0.00353708411628164,18094.0
,freq3_width24_time0-voteN8_t0p7_min3_sim0p9_repmedoid-confp0p35_e2p5-tau1p0,teacher_kl,tedlium,beam5_lp0p5,0.03398916767989389,0.006300431082126676,1,0.022521277771637007,1p0,3em7,teacher_kl-beam5_lp0p5,2,"['1/2', '2/2']",tedlium-dev-teacher_kl-beam5_lp0p5-epoch-1-lr-3em7-freq3_width24_time0-voteN8_t0p7_min3_sim0p9_repmedoid-confp0p35_e2p5-tau1p0,freq3_width24_time0,dev,0.06181607162595336,2p5,0p35,3,8,medoid,0p9,0p7,0.11832651707748425,0.0007737371504366042,18094.0
