agreement,aug,base_mode,dataset,decode,del_rate,delta_vs_baseline,epoch,ins_rate,kl_temp,lr,mode,n_repeats,repeat_ids,setting,spec_aug,split,sub_rate,vote_min_count,vote_num_samples,vote_similarity,vote_temperature,wer,wer_std,words
,no_aug,no_adapt,tedlium,beam5_lp0p5,0.034431303194429094,0.0,0,0.015253675251464574,,none,no_adapt-beam5_lp0p5,3,"['1/3', '2/3', '3/3']",tedlium-dev-no_adapt-beam5_lp0p5-epoch-0-lr-none-no_aug,,dev,0.062341107549463905,,,,,0.11202608599535757,0.0,18094.0
,freq3_width24_time0-voteN8_t0p7_min3_sim0p9,teacher_ce,tedlium,beam5_lp0p5,0.03463394863859106,0.008953244169337918,1,0.022659445119929258,,1em7,teacher_ce-beam5_lp0p5,3,"['1/3', '2/3', '3/3']",tedlium-dev-teacher_ce-beam5_lp0p5-epoch-1-lr-1em7-freq3_width24_time0-voteN8_t0p7_min3_sim0p9,freq3_width24_time0,dev,0.06368593640617516,3,8,0p9,0p7,0.12097933016469549,0.0009013765021719969,18094.0
,freq3_width24_time0-voteN8_t0p7_min3_sim1p0,teacher_ce,tedlium,beam5_lp0p5,0.03467079326480233,-0.0001105338786338006,1,0.015124719059725138,,1em7,teacher_ce-beam5_lp0p5,3,"['1/3', '2/3', '3/3']",tedlium-dev-teacher_ce-beam5_lp0p5-epoch-1-lr-1em7-freq3_width24_time0-voteN8_t0p7_min3_sim1p0,freq3_width24_time0,dev,0.062120039792196304,3,8,1p0,0p7,0.11191555211672377,0.00023447776539843373,18094.0
,freq3_width24_time0-voteN8_t0p7_min3_sim0p9,teacher_ce,tedlium,beam5_lp0p5,0.03459710401237979,0.0065583434656055345,1,0.0205961460520983,,3em7,teacher_ce-beam5_lp0p5,3,"['1/3', '2/3', '3/3']",tedlium-dev-teacher_ce-beam5_lp0p5-epoch-1-lr-3em7-freq3_width24_time0-voteN8_t0p7_min3_sim0p9,freq3_width24_time0,dev,0.06339117939648502,3,8,0p9,0p7,0.1185844294609631,0.0026970920723164487,18094.0
,freq3_width24_time0-voteN8_t0p7_min3_sim1p0,teacher_ce,tedlium,beam5_lp0p5,0.034652370951696695,-0.0002210677572676012,1,0.015198408312147674,,3em7,teacher_ce-beam5_lp0p5,3,"['1/3', '2/3', '3/3']",tedlium-dev-teacher_ce-beam5_lp0p5-epoch-1-lr-3em7-freq3_width24_time0-voteN8_t0p7_min3_sim1p0,freq3_width24_time0,dev,0.0619542389742456,3,8,1p0,0p7,0.11180501823808997,0.0001193902343024911,18094.0
,freq3_width24_time0-voteN8_t0p7_min3_sim0p9-tau1p0,teacher_kl,tedlium,beam5_lp0p5,0.033768099922626284,0.006982056667035122,1,0.023101580634464464,1p0,1em7,teacher_kl-beam5_lp0p5,3,"['1/3', '2/3', '3/3']",tedlium-dev-teacher_kl-beam5_lp0p5-epoch-1-lr-1em7-freq3_width24_time0-voteN8_t0p7_min3_sim0p9-tau1p0,freq3_width24_time0,dev,0.06213846210530194,3,8,0p9,0p7,0.1190081426623927,0.0010489400424071892,18094.0
,freq3_width24_time0-voteN8_t0p7_min3_sim1p0-tau1p0,teacher_kl,tedlium,beam5_lp0p5,0.034431303194429094,-0.00023949007037323,1,0.015216830625253308,1p0,1em7,teacher_kl-beam5_lp0p5,3,"['1/3', '2/3', '3/3']",tedlium-dev-teacher_kl-beam5_lp0p5-epoch-1-lr-1em7-freq3_width24_time0-voteN8_t0p7_min3_sim1p0-tau1p0,freq3_width24_time0,dev,0.06213846210530194,3,8,1p0,0p7,0.11178659592498434,9.393573401114097e-05,18094.0
,freq3_width24_time0-voteN8_t0p7_min3_sim0p9-tau1p0,teacher_kl,tedlium,beam5_lp0p5,0.035278729597288234,0.00836373014995763,1,0.02370951696695037,1p0,3em7,teacher_kl-beam5_lp0p5,3,"['1/3', '2/3', '3/3']",tedlium-dev-teacher_kl-beam5_lp0p5-epoch-1-lr-3em7-freq3_width24_time0-voteN8_t0p7_min3_sim0p9-tau1p0,freq3_width24_time0,dev,0.0614015695810766,3,8,0p9,0p7,0.1203898161453152,0.0007741756526823097,18094.0
,freq3_width24_time0-voteN8_t0p7_min3_sim1p0-tau1p0,teacher_kl,tedlium,beam5_lp0p5,0.03426550237647839,-0.0004605578276408312,1,0.015253675251464574,1p0,3em7,teacher_kl-beam5_lp0p5,3,"['1/3', '2/3', '3/3']",tedlium-dev-teacher_kl-beam5_lp0p5-epoch-1-lr-3em7-freq3_width24_time0-voteN8_t0p7_min3_sim1p0-tau1p0,freq3_width24_time0,dev,0.062046350539773774,3,8,1p0,0p7,0.11156552816771674,0.0003890555263612754,18094.0
