agreement,aug,base_mode,dataset,decode,del_rate,delta_vs_baseline,epoch,ins_rate,kl_temp,lr,mode,n_repeats,repeat_ids,setting,spec_aug,split,sub_rate,teacher_max_mean_entropy,teacher_min_mean_max_prob,vote_min_count,vote_num_samples,vote_representative_strategy,vote_similarity,vote_temperature,wer,wer_std,words
,no_aug,no_adapt,tedlium,beam5_lp0p5,0.034431303194429094,0.0,0,0.015253675251464574,,none,no_adapt-beam5_lp0p5,3,"['1/3', '2/3', '3/3']",tedlium-dev-no_adapt-beam5_lp0p5-epoch-0-lr-none-no_aug,,dev,0.062341107549463905,,,,,,,,0.11202608599535757,0.0,18094.0
,freq3_width24_time0-voteN8_t0p7_min2_sim0p95_repmedoid,teacher_ce,tedlium,beam5_lp0p5,0.035444530415238935,0.005618805497218229,1,0.019859253527872957,,1em7,teacher_ce-beam5_lp0p5,3,"['1/3', '2/3', '3/3']",tedlium-dev-teacher_ce-beam5_lp0p5-epoch-1-lr-1em7-freq3_width24_time0-voteN8_t0p7_min2_sim0p95_repmedoid,freq3_width24_time0,dev,0.062341107549463905,,,2,8,medoid,0p95,0p7,0.1176448914925758,0.0032827920992082433,18094.0
,freq3_width24_time0-voteN8_t0p7_min2_sim1p0_repmedoid,teacher_ce,tedlium,beam5_lp0p5,0.03452341475995726,-0.000313179322795773,1,0.015308942190781475,,1em7,teacher_ce-beam5_lp0p5,3,"['1/3', '2/3', '3/3']",tedlium-dev-teacher_ce-beam5_lp0p5-epoch-1-lr-1em7-freq3_width24_time0-voteN8_t0p7_min2_sim1p0_repmedoid,freq3_width24_time0,dev,0.061880549721823074,,,2,8,medoid,1p0,0p7,0.1117129066725618,0.00018787146802228194,18094.0
,freq3_width24_time0-voteN8_t0p7_min2_sim0p95_repmedoid,teacher_ce,tedlium,beam5_lp0p5,0.035555064293872736,9.211156552817179e-05,1,0.015179985999042042,,3em7,teacher_ce-beam5_lp0p5,3,"['1/3', '2/3', '3/3']",tedlium-dev-teacher_ce-beam5_lp0p5-epoch-1-lr-3em7-freq3_width24_time0-voteN8_t0p7_min2_sim0p95_repmedoid,freq3_width24_time0,dev,0.06138314726797097,,,2,8,medoid,0p95,0p7,0.11211819756088574,0.0005958130366897424,18094.0
,freq3_width24_time0-voteN8_t0p7_min2_sim1p0_repmedoid,teacher_ce,tedlium,beam5_lp0p5,0.03457868169927416,-5.52669393169003e-05,1,0.015216830625253308,,3em7,teacher_ce-beam5_lp0p5,3,"['1/3', '2/3', '3/3']",tedlium-dev-teacher_ce-beam5_lp0p5-epoch-1-lr-3em7-freq3_width24_time0-voteN8_t0p7_min2_sim1p0_repmedoid,freq3_width24_time0,dev,0.062175306731513204,,,2,8,medoid,1p0,0p7,0.11197081905604067,0.00020678995173946716,18094.0
,freq3_width24_time0-voteN8_t0p7_min2_sim0p95_repmedoid-tau1p0,teacher_kl,tedlium,beam5_lp0p5,0.03426550237647839,0.0018974982498802667,1,0.0176301536420913,1p0,1em7,teacher_kl-beam5_lp0p5,3,"['1/3', '2/3', '3/3']",tedlium-dev-teacher_kl-beam5_lp0p5-epoch-1-lr-1em7-freq3_width24_time0-voteN8_t0p7_min2_sim0p95_repmedoid-tau1p0,freq3_width24_time0,dev,0.06202792822666814,,,2,8,medoid,0p95,0p7,0.11392358424523784,0.0022788632147890974,18094.0
,freq3_width24_time0-voteN8_t0p7_min2_sim1p0_repmedoid-tau1p0,teacher_kl,tedlium,beam5_lp0p5,0.03439445856821783,-0.0005710917062746318,1,0.015161563685936406,1p0,1em7,teacher_kl-beam5_lp0p5,3,"['1/3', '2/3', '3/3']",tedlium-dev-teacher_kl-beam5_lp0p5-epoch-1-lr-1em7-freq3_width24_time0-voteN8_t0p7_min2_sim1p0_repmedoid-tau1p0,freq3_width24_time0,dev,0.0618989720349287,,,2,8,medoid,1p0,0p7,0.11145499428908294,0.000158474729505961,18094.0
,freq3_width24_time0-voteN8_t0p7_min2_sim0p95_repmedoid-tau1p0,teacher_kl,tedlium,beam5_lp0p5,0.03457868169927416,0.00617147489038726,1,0.022106775726760255,1p0,3em7,teacher_kl-beam5_lp0p5,3,"['1/3', '2/3', '3/3']",tedlium-dev-teacher_kl-beam5_lp0p5-epoch-1-lr-3em7-freq3_width24_time0-voteN8_t0p7_min2_sim0p95_repmedoid-tau1p0,freq3_width24_time0,dev,0.0615121034597104,,,2,8,medoid,0p95,0p7,0.11819756088574483,0.0008385694467220119,18094.0
,freq3_width24_time0-voteN8_t0p7_min2_sim1p0_repmedoid-tau1p0,teacher_kl,tedlium,beam5_lp0p5,0.03433919162890093,-0.0004237132014295736,1,0.015235252938358942,1p0,3em7,teacher_kl-beam5_lp0p5,3,"['1/3', '2/3', '3/3']",tedlium-dev-teacher_kl-beam5_lp0p5-epoch-1-lr-3em7-freq3_width24_time0-voteN8_t0p7_min2_sim1p0_repmedoid-tau1p0,freq3_width24_time0,dev,0.06202792822666814,,,2,8,medoid,1p0,0p7,0.111602372793928,0.0002720021933648965,18094.0
