dataset,split,seq_len,overlap,epochs,lr,n,wer_mean,wer_std,ins_rate_mean,del_rate_mean,sub_rate_mean,words,repeats,paths
chime6,test,2048,1792,1,1em5,1,0.6195805428,,0.0076136764,0.4411350018,0.1708318646,56740,1,chime6-test-ctc-seq2048-overlap1792-epoch-1-lr-1em5_1.pkl
chime6,test,2048,1792,5,1em5,1,0.5910292563,,0.0104688051,0.3859710962,0.1945893550,56740,1,chime6-test-ctc-seq2048-overlap1792-epoch-5-lr-1em5_1.pkl
earnings22,test,2048,1792,1,1em5,1,0.1559749198,,0.0241406777,0.0369258420,0.0949084002,48963,1,earnings22-test-ctc-seq2048-overlap1792-epoch-1-lr-1em5_1.pkl
earnings22,test,2048,1792,5,1em5,1,0.1537895962,,0.0279598881,0.0336989155,0.0921307926,48963,1,earnings22-test-ctc-seq2048-overlap1792-epoch-5-lr-1em5_1.pkl
rev16,test,2048,1792,1,1em5,1,0.1422283272,,0.0236630190,0.0518451946,0.0667201136,195833,1,rev16-test-ctc-seq2048-overlap1792-epoch-1-lr-1em5_1.pkl
rev16,test,2048,1792,5,1em5,1,0.1417483264,,0.0257464268,0.0487813596,0.0672205399,195833,1,rev16-test-ctc-seq2048-overlap1792-epoch-5-lr-1em5_1.pkl
tedlium,test,2048,1792,1,1em5,1,0.0598263335,,0.0091440723,0.0171894382,0.0334928230,28215,1,tedlium-test-ctc-seq2048-overlap1792-epoch-1-lr-1em5_1.pkl
tedlium,test,2048,1792,5,1em5,1,0.0585504164,,0.0098529151,0.0165869219,0.0321105795,28215,1,tedlium-test-ctc-seq2048-overlap1792-epoch-5-lr-1em5_1.pkl
