dataset,split,seq_len,overlap,epochs,lr,repeat,wer,ins_rate,del_rate,sub_rate,words,path,error
chime6,test,2048,1792,1,1em5,1,0.6195805428269299,0.007613676418752203,0.4411350017624251,0.17083186464575256,56740,chime6-test-ctc-seq2048-overlap1792-epoch-1-lr-1em5_1.pkl,
chime6,test,2048,1792,5,1em5,1,0.5910292562566091,0.01046880507578428,0.3859710962284103,0.19458935495241453,56740,chime6-test-ctc-seq2048-overlap1792-epoch-5-lr-1em5_1.pkl,
earnings22,test,2048,1792,1,1em5,1,0.15597491983742826,0.024140677654555482,0.03692584196229806,0.09490840022057472,48963,earnings22-test-ctc-seq2048-overlap1792-epoch-1-lr-1em5_1.pkl,
earnings22,test,2048,1792,5,1em5,1,0.15378959622572147,0.027959888078753343,0.033698915507628206,0.0921307926393399,48963,earnings22-test-ctc-seq2048-overlap1792-epoch-5-lr-1em5_1.pkl,
rev16,test,2048,1792,1,1em5,1,0.14222832719715267,0.023663019000883405,0.05184519463011852,0.06672011356615075,195833,rev16-test-ctc-seq2048-overlap1792-epoch-1-lr-1em5_1.pkl,
rev16,test,2048,1792,5,1em5,1,0.14174832638013002,0.0257464268024286,0.048781359627846174,0.06722053994985523,195833,rev16-test-ctc-seq2048-overlap1792-epoch-5-lr-1em5_1.pkl,
tedlium,test,2048,1792,1,1em5,1,0.05982633351054404,0.00914407230196704,0.01718943824206982,0.03349282296650718,28215,tedlium-test-ctc-seq2048-overlap1792-epoch-1-lr-1em5_1.pkl,
tedlium,test,2048,1792,5,1em5,1,0.05855041644515329,0.00985291511607301,0.016586921850079744,0.032110579479000534,28215,tedlium-test-ctc-seq2048-overlap1792-epoch-5-lr-1em5_1.pkl,
